CaseIds,Labels
1-109135791,0
1-147898401,1
1-165554831,2
1-172473423,2
1-182640781,3
1-230541365,4
1-236817141,3
1-270399977,5
1-270427461,2
1-310231291,6
1-316086072,-1
1-320604521,7
1-322204195,8
1-322581861,7
1-322980802,9
1-323264491,6
1-323462732,4
1-327329880,2
1-329451027,-1
1-329647261,10
1-330634474,11
1-331478885,4
1-332389008,11
1-333164156,12
1-335260940,-1
1-337229341,-1
1-338946805,6
1-339798202,6
1-339889001,6
1-340984229,7
1-341002175,6
1-342442140,9
1-345132462,4
1-345255471,13
1-347461373,6
1-347923966,1
1-347924629,14
1-349857482,9
1-351187625,6
1-351314317,11
1-351869391,6
1-353818791,13
1-354039443,2
1-354090772,15
1-354350908,14
1-354376900,14
1-356055231,16
1-356879617,15
1-357087417,11
1-357610411,6
1-358038911,-1
1-358776870,6
1-359215498,2
1-359781492,9
1-359841262,17
1-360072755,3
1-360464815,14
1-360667704,6
1-361368011,6
1-363041157,9
1-363206822,11
1-363549934,11
1-364018090,3
1-364458525,14
1-364528467,3
1-365052802,-1
1-365189372,-1
1-365702595,11
1-366462246,6
1-366509892,11
1-366584206,11
1-366698569,4
1-366726662,4
1-366923538,5
1-367002597,14
1-367648732,11
1-367921041,18
1-368322765,12
1-368929048,11
1-369693874,11
1-369989135,1
1-370436092,3
1-370452680,5
1-371498622,11
1-371631962,9
1-371672096,11
1-372029512,-1
1-372555278,19
1-372579132,11
1-372858362,11
1-372978779,16
1-373110819,11
1-373268674,11
1-373413519,11
1-373413971,11
1-374379174,11
1-374630866,11
1-374832944,20
1-375337251,11
1-375430388,11
1-375644051,5
1-375646314,11
1-375670011,9
1-376424233,6
1-377083756,21
1-377276064,11
1-377458451,11
1-378050311,-1
1-378054711,11
1-378744625,5
1-378976624,8
1-379209685,6
1-379702919,0
1-379789104,4
1-380297615,2
1-380392616,21
1-380527184,21
1-380632889,16
1-380654568,11
1-380885044,22
1-381124870,2
1-382209384,2
1-382442048,3
1-383789251,9
1-384097130,-1
1-384757914,-1
1-385201933,3
1-385278464,9
1-385311756,11
1-386495623,6
1-386782865,3
1-388028918,18
1-388230583,5
1-388644366,11
1-388724672,11
1-389195082,21
1-390250582,-1
1-390722958,14
1-390819078,18
1-392590655,9
1-392812598,11
1-393413330,11
1-396569277,11
1-397446945,11
1-397806545,4
1-399013423,23
1-399628501,4
1-400351079,6
1-400528782,24
1-402212071,6
1-402328919,9
1-402612770,15
1-403006315,21
1-404005175,6
1-404084309,14
1-404736991,18
1-405112616,1
1-405248961,10
1-406010922,16
1-406066421,10
1-406852699,6
1-406875315,11
1-407517548,6
1-407737529,3
1-407876996,25
1-408853759,11
1-409247778,11
1-409309026,6
1-410929705,11
1-411078092,11
1-413205820,11
1-413276708,6
1-413665008,9
1-415000020,5
1-415822336,12
1-415946366,14
1-416247009,14
1-417868043,12
1-418122119,11
1-418890453,24
1-419236954,10
1-419614582,6
1-419783741,6
1-419783822,6
1-422390390,6
1-422418092,16
1-422877530,11
1-423484126,9
1-423648343,11
1-423724447,9
1-423751353,12
1-424022692,11
1-424065923,11
1-424243405,6
1-424668301,11
1-426876102,11
1-426969419,11
1-427498853,3
1-427614010,9
1-427955007,2
1-428252132,0
1-428421057,11
1-429498598,2
1-429979181,26
1-430150814,4
1-430793848,9
1-430836105,6
1-430880486,6
1-431797119,11
1-432419251,3
1-432687815,14
1-433161361,11
1-433309965,18
1-433710534,27
1-433910332,4
1-434419581,11
1-434892089,1
1-435824991,11
1-435825107,11
1-437141508,9
1-438526021,6
1-438897551,9
1-439833168,6
1-439863114,6
1-440576028,9
1-441507371,25
1-442885842,28
1-443175071,6
1-443637654,11
1-448698916,6
1-454389870,-1
1-457173714,6
1-467257506,3
1-470328307,11
1-470714850,11
1-473084325,29
1-475885658,8
1-479002951,6
1-489198755,6
1-494629702,6
1-494871141,0
1-495101458,6
1-497807633,11
1-498002861,6
1-498324124,4
1-499289128,11
1-499289256,11
1-499540955,5
1-500208339,11
1-500427383,6
1-501925116,12
1-501969547,9
1-502353485,6
1-502697671,14
1-502769178,3
1-504048859,14
1-504498907,9
1-505194002,9
1-505194015,9
1-505416663,11
1-505443989,11
1-506092586,9
1-506108491,14
1-506236591,11
1-506866218,6
1-507679771,9
1-507774379,11
1-508044897,20
1-508462323,9
1-508825032,9
1-509892697,6
1-509912273,11
1-509915742,9
1-510142147,1
1-510399424,9
1-510423612,6
1-511755003,14
1-511787661,11
1-512617571,1
1-512654811,25
1-513031774,9
1-513032417,11
1-513135755,11
1-513180623,11
1-513395204,6
1-513767190,6
1-513864515,14
1-513910403,6
1-514223574,6
1-514311011,6
1-514618724,14
1-514712116,6
1-514832700,14
1-515461174,14
1-515617964,25
1-515834995,4
1-515873671,30
1-516141293,5
1-516860557,6
1-517002080,11
1-517045062,11
1-517399487,12
1-517490964,11
1-517828743,11
1-518362551,11
1-519020627,9
1-519054737,2
1-519065883,31
1-519085985,12
1-519147007,25
1-519167681,11
1-519386144,9
1-520127960,6
1-520234084,11
1-520705880,6
1-521122392,11
1-521431857,11
1-521555370,9
1-521628291,9
1-522222222,9
1-522460624,11
1-522734472,11
1-522949376,3
1-523027945,6
1-523069229,14
1-523311541,11
1-523361887,11
1-523392191,11
1-523637826,9
1-524169663,17
1-524328647,9
1-524356958,14
1-524375607,2
1-525132931,2
1-525447561,2
1-525477138,6
1-525489753,11
1-525589021,9
1-526037041,9
1-526344555,11
1-526369142,6
1-526414477,11
1-526414833,11
1-526647987,6
1-527208576,6
1-527928641,6
1-528251011,0
1-528332261,2
1-528716762,14
1-528755863,6
1-529091253,6
1-529091311,6
1-529471141,0
1-530147896,5
1-530539767,11
1-530568802,12
1-531435394,6
1-531872604,10
1-532038065,14
1-532084405,11
1-532544114,6
1-532816930,6
1-533449912,11
1-533851634,11
1-534020390,2
1-534493180,2
1-534702904,6
1-535052125,5
1-535233659,11
1-535393553,9
1-535418135,2
1-535439201,6
1-535813109,9
1-535813203,9
1-535813236,9
1-535813278,9
1-535813300,9
1-535813432,9
1-535813517,9
1-535813813,9
1-536299706,-1
1-536904633,9
1-537169872,28
1-537311033,23
1-537601770,0
1-537902763,9
1-537984625,25
1-538109148,4
1-538226806,9
1-538297321,11
1-538411483,14
1-538467021,0
1-539000895,9
1-539083171,6
1-539633138,11
1-539752329,14
1-539805130,6
1-540408651,11
1-540500545,6
1-540531611,14
1-540549141,1
1-540549178,2
1-540549229,2
1-540631861,19
1-540723633,11
1-540904745,11
1-540947390,0
1-541028557,11
1-541088014,14
1-541565290,11
1-541566505,11
1-541655216,11
1-541686305,11
1-542027112,4
1-542568265,10
1-542919207,13
1-542940765,17
1-543227320,16
1-543300099,2
1-543653631,4
1-544020953,4
1-544200884,6
1-544527205,6
1-544595401,0
1-544876956,6
1-545370610,5
1-545738536,2
1-545911672,28
1-546272906,2
1-546692981,9
1-546693092,9
1-546838031,5
1-547539001,9
1-547617088,2
1-547802271,9
1-548188531,9
1-548188557,9
1-548188833,9
1-549431982,0
1-550036329,5
1-550159631,2
1-550577363,2
1-550611848,9
1-553276916,24
1-555105571,11
1-557618809,9
1-557739965,6
1-560246371,11
1-560404489,26
1-560418897,11
1-560419045,11
1-560504546,16
1-560703011,6
1-561068081,9
1-561190012,11
1-562022682,11
1-562778111,-1
1-562807927,14
1-563156866,6
1-563156881,6
1-563477371,-1
1-563779807,1
1-564311006,11
1-564433915,0
1-564528496,11
1-564738994,14
1-564903210,11
1-565030154,9
1-565319816,9
1-565807612,4
1-565905115,6
1-566003511,25
1-566096602,25
1-566101203,9
1-566332021,11
1-566642468,11
1-566661201,6
1-567100387,9
1-567362335,6
1-567440922,11
1-567718361,9
1-567958551,6
1-567981735,11
1-572078531,5
1-572330175,27
1-572625937,11
1-572730349,2
1-572802327,25
1-573215995,2
1-573278049,6
1-573280988,9
1-573316263,0
1-573501251,3
1-573639367,11
1-573655864,11
1-573830584,4
1-573904126,25
1-574045461,9
1-574052419,25
1-574132549,11
1-574162627,11
1-574222268,4
1-574271413,11
1-574466092,8
1-574623837,14
1-574663931,24
1-575690736,14
1-576186189,14
1-576423636,6
1-576667260,28
1-576807766,6
1-576881364,9
1-576934735,9
1-576984464,32
1-577196856,11
1-577236636,25
1-577288653,11
1-577396354,11
1-577685618,6
1-577737791,31
1-577834779,6
1-577996886,32
1-578105842,33
1-578252937,9
1-578579972,9
1-578598959,0
1-578612825,25
1-578612990,3
1-578686199,9
1-578831063,11
1-579078207,6
1-579211624,11
1-579250167,6
1-579369463,11
1-579425746,18
1-579425846,30
1-579517011,6
1-579636429,9
1-580296643,14
1-580325905,9
1-580358285,11
1-580385263,11
1-580464971,5
1-580981634,9
1-581652169,9
1-581740771,9
1-581815727,0
1-581898739,-1
1-582296121,9
1-582401721,6
1-583171096,11
1-583931536,9
1-583944596,6
1-584047671,6
1-584612205,2
1-584754762,9
1-584776062,6
1-584812041,2
1-584828902,9
1-584861543,0
1-584938329,2
1-585459725,1
1-585467875,6
1-585469859,-1
1-585714932,3
1-586382001,9
1-586382068,9
1-586562664,16
1-587038802,11
1-587058585,9
1-587337285,9
1-587337305,9
1-587383007,9
1-588543315,9
1-588566574,6
1-588712865,30
1-589099869,9
1-589370341,3
1-589421537,9
1-589962550,9
1-589999547,34
1-590262446,30
1-590574771,35
1-590579544,9
1-591301260,9
1-591508928,11
1-591627183,25
1-591627239,25
1-592064699,9
1-592390567,1
1-593022132,9
1-593022224,9
1-593032661,25
1-593312167,14
1-593431551,14
1-593751721,9
1-593933571,9
1-594093101,28
1-594472343,14
1-594666837,9
1-594673056,9
1-594693527,9
1-595293983,35
1-595361681,9
1-595687232,2
1-596251950,14
1-596286562,9
1-596290771,2
1-596331167,0
1-596580941,11
1-596608752,6
1-596676011,23
1-596815491,9
1-597231167,3
1-597285812,14
1-597580752,2
1-597616526,9
1-598583993,25
1-599074651,6
1-599157751,30
1-599157997,11
1-599158067,0
1-599352141,9
1-599517681,14
1-599586617,25
1-599626401,25
1-600432558,14
1-600506847,36
1-600663061,25
1-600873076,9
1-601289432,14
1-601400851,30
1-601433623,9
1-601636752,9
1-601819090,2
1-602316021,14
1-602316067,14
1-602316153,0
1-602316201,9
1-602316215,6
1-602316249,9
1-602396115,6
1-602464818,9
1-602870173,5
1-603537274,1
1-603563148,9
1-603708003,9
1-603798757,9
1-604432843,9
1-604432860,9
1-604432887,9
1-604604928,6
1-604645912,28
1-604646378,9
1-604882241,20
1-605029866,6
1-605034229,6
1-605184371,4
1-605279637,9
1-605728578,6
1-606068287,33
1-606441115,6
1-606724483,0
1-606829317,25
1-606971198,1
1-607158761,0
1-607520800,6
1-607840637,9
1-607934151,9
1-608010054,25
1-608036754,30
1-608735919,14
1-609011164,25
1-609700424,14
1-611506787,6
1-611582327,9
1-611582394,9
1-611605221,6
1-611632212,14
1-611637278,9
1-611651603,14
1-612515539,28
1-613033122,14
1-613364032,5
1-613412559,9
1-613496066,0
1-613740745,9
1-614378697,25
1-614378787,25
1-614451236,9
1-615224713,9
1-615905511,6
1-616014042,9
1-616211466,5
1-616288482,4
1-616409083,9
1-616977258,14
1-616993936,30
1-617042441,5
1-617049384,9
1-617084616,6
1-617356985,37
1-617389027,6
1-617470131,3
1-617696569,9
1-618041243,0
1-618041343,30
1-618116069,0
1-618143224,0
1-618170625,14
1-618171180,6
1-618283927,6
1-618350811,-1
1-618589528,2
1-618620384,9
1-618764275,4
1-618859631,-1
1-618883006,30
1-619053302,10
1-619067777,11
1-619087129,9
1-619109941,-1
1-619146141,28
1-619175501,6
1-619201265,14
1-619232031,6
1-619254483,9
1-619550849,8
1-619575181,9
1-619589599,38
1-619684455,9
1-619699161,-1
1-619719949,33
1-619767065,6
1-619857642,6
1-620015297,9
1-620074564,9
1-620430705,9
1-620432583,11
1-620483711,28
1-620572095,9
1-620584677,14
1-620656965,9
1-620705595,9
1-620857518,9
1-620925267,2
1-621023087,9
1-621039603,9
1-621061021,11
1-621311061,39
1-621322866,9
1-621369891,9
1-621393223,20
1-621571462,9
1-622154016,12
1-622156083,0
1-622295317,6
1-622618613,0
1-622630582,6
1-622652886,9
1-622783644,14
1-622806196,14
1-622847448,14
1-622856843,9
1-622874191,6
1-622884303,6
1-622940906,6
1-623152702,9
1-623336818,9
1-623354971,14
1-623520821,4
1-623521280,14
1-623626713,2
1-623792185,5
1-623859845,9
1-623873811,-1
1-624009613,9
1-624219528,9
1-624305845,23
1-624403918,-1
1-624450715,6
1-624711258,25
1-624745314,9
1-624845426,25
1-625322174,0
1-625459293,0
1-625628532,9
1-625634702,6
1-625634824,6
1-625634936,6
1-625646775,9
1-626102521,9
1-626212681,14
1-626292231,6
1-626462354,6
1-626510640,4
1-626515794,2
1-626760391,6
1-626834451,6
1-627163101,1
1-627190551,22
1-627336700,14
1-627337013,6
1-627532005,14
1-627557462,6
1-627630611,25
1-627878397,6
1-627936524,9
1-627980711,9
1-628078553,9
1-628105478,14
1-628203323,4
1-628222366,9
1-628255780,9
1-628669941,9
1-628704675,30
1-629618537,14
1-629629428,14
1-629642635,2
1-629991273,6
1-630156753,25
1-630493188,9
1-631001113,9
1-631117870,31
1-631509503,9
1-632486751,14
1-633036453,25
1-633092732,6
1-633184307,9
1-634447637,14
1-634479154,9
1-634487640,9
1-634506651,9
1-634533656,9
1-635351501,9
1-635382525,9
1-635404161,6
1-636080278,40
1-636102195,11
1-636501102,9
1-636789520,9
1-636849620,2
1-636852199,14
1-636867758,9
1-636931254,-1
1-637035141,9
1-637059802,9
1-637089310,22
1-637142120,9
1-637222863,0
1-637283508,25
1-637307494,23
1-637327254,9
1-637516103,25
1-637580967,6
1-637591141,9
1-637685994,9
1-637713545,0
1-637713651,9
1-637716645,9
1-637893062,14
1-637954950,9
1-638034021,9
1-638041299,9
1-638091067,-1
1-638112911,9
1-638653931,9
1-638961317,9
1-638962731,14
1-639009338,6
1-639028876,9
1-639870000,9
1-639881579,9
1-639930880,28
1-639942581,14
1-640059801,9
1-640093069,25
1-640254885,34
1-640263496,9
1-640387614,0
1-641023492,9
1-641044311,6
1-641083751,14
1-641083987,14
1-641100891,9
1-641104060,25
1-641157962,9
1-641232069,28
1-641243011,1
1-641306231,9
1-641323677,14
1-641491883,9
1-641530471,13
1-642418588,9
1-642478708,9
1-642579219,11
1-642761240,9
1-642766943,14
1-642802641,2
1-642846054,6
1-643444986,25
1-643445547,9
1-643468705,9
1-643532122,9
1-643556695,9
1-643685369,14
1-643685396,9
1-643706642,6
1-643747498,9
1-643809664,31
1-644748889,9
1-644827840,9
1-644992956,14
1-647796802,2
